Number, Answer, Question
"",,Drivers should slow down before beginning a turn. If a driver has to brake during
457,O,"the turn itself, it means they didn't slow down enough before beginning their"
"",,turn.
"",,Drivers may go ahead and change lanes or make a turn without using their turn
458,X,signal light if they are in a hurry.
"",,A good driver always travels at an appropriate speed and maintains a steady
459,O,speed even when changing lanes.
"",,"If there is a solid white double line separating the lanes, drivers may change"
460,X,lanes so they can make a left or right turn at their convenience.
"",,"If prior to backing up, the driver is not 100% sure that there is no obstacle behind"
"",,"their vehicle due to poor or restricted visibility, they are required to physically"
461,O,
"",,get out of their vehicle and check to make sure it is safe to back up before doing
"",,so.
"",,Drivers should park their vehicle in a shady area and refrain from parking their
462,O,vehicle for a long time with the air-conditioner running continuously in order to
"",,not waste fuel or put themselves in danger.
"",,"Before getting out of a parked vehicle, the driver and any passengers are required"
463,O,to check carefully to see if there are any pedestrians or vehicles approaching
"",,from behind before they completely open the door to exit the vehicle.
"",,"Always be careful when opening and closing car doors. First, open the door"
"",,
"",,slightly to check and make sure there are no obstacles blocking the door or
464,O,
"",,"vehicles or pedestrians approaching. If it is safe, then the door may be opened"
"",,wide enough so the driver and any passengers can get in or out.
"",,Always check for vehicles approaching from behind before you completely open
465,O,the door and get in or out of a vehicle to prevent accidents from happening.
"",,"If parked on a roadside, make sure there are no vehicles, especially motorcycles,"
466,O,approaching from behind before you open the car door.
"",,"In order to reduce exhaust and protect the environment, vehicles are not allowed"
467,O,to idle for more than 3 minutes. Violators are subject to penalties in accordance
"",,with the Air Pollution Prevention Act.
"",,"If drivers encounter a fire when driving through a long tunnel, they must stop"
468,O,"their vehicle on the side of the road immediately, leave the doors unlocked, leave"
"",,"the keys in the ignition, and seek a safe evacuation route."
"",,If a driver has to turn the steering wheel for more than half of the circumference
469,O,"of the steering wheel, they must keep both hands on the steering wheel as they"
"",,smoothly rotate the wheel in one continuous turn.
"",,"If a tire blows out when traveling on the road, the driver should keep both hands"
470,O,"on the steering wheel, steer the vehicle straight ahead, and take their foot off the"
"",,accelerator pedal to reduce their speed so they can pull off the road.
471,X,A vehicle's ability to brake does not change after driving through a flooded area.
"",,"Drivers must push in the clutch slowly but release the clutch quickly, and hit the"
472,X,brake pedal quickly but release the brake pedal slowly.
"",,"When driving on a freeway, automatic drive vehicles should always be initially"
"",,"shifted into the lowest speed gear. After that, the transmission will automatically"
473,X,"find the most appropriate gear, so drivers don't need to worry about what gear"
"",,"they should drive in, anyway."
"",,"The surface of a freeway is always straight and flat, and is easier to drive, so"
474,X,drivers tend to to stay alert.
"",,"The purpose of requiring regular vehicle safety inspection, and regular"
475,O,"maintenance by vehicle owners, and regular check-ups at auto maintenance"
"",,shops is to ensure driving safety and reduce driving costs.
"",,Always make certain that the hood is completely closed after doing a safety
476,O,inspection to ensure the hood doesn't pop open suddenly when driving on road.
"",,"Prior to driving, always check the water in the radiator and battery, the oil, and"
477,O,"brake fluid, and the drive belts under the hood."
"",,Drivers do not have to check to make sure their car is mechanically sound before
478,X,driving because just paying attention to the warning indicators on the dashboard
"",,while driving will ensure their safety.
"",,Drivers are required to arrange maintenance in accordance with the mileage or
"",,"the maintenance schedule as recommended by manufacturers, in addition to"
479,O,having inspections done as required by the Motor Vehicle Registration
"",,Department.
"",,"Before driving, it is important to make sure that the level of oil in the engine is"
480,O,within normal levels as indicated on the dipstick because if the oil level is too
"",,"high, the engine will burn excessive fuel."
"",,Drivers must be parked on a flat ground before they check the oil level in the
481,O,engine.
"",,It is possible to check the level of the oil in the engine if you are parked on a
482,X,slope by simply checking the oil level on the dipstick.
"",,Drivers should check the level and quality of the oil in the engine after starting
483,X,the engine.
484,X,Drivers may check the oil level as soon as they turn off the engine.
485,O,"If the engine oil is changed regularly, it will extend the service life of the engine."
"",,"Too much engine oil will cause the spark plugs to malfunction, thus wasting fuel"
486,O,and lowering engine power (Hp).
"",,"If the engine oil becomes a creamy color, it means the oil has been contaminated"
487,O,by the cooling water and the engine has to be repaired.
"",,The brake fluid level has to be higher than the minimum level indicated as MIN
"",,in the fluid reservoir and lower than the maximum level indicated as MAX in the
488,O,fluid reservoir. Drivers are required to add brake fluid whenever necessary and
"",,only use the same brand and type of brake fluid.
"",,"If the brake fluid level often drops below MIN on the dipstick, all you have to do"
489,X,is to continuously add more brake fluid. There is no need to get the vehicle
"",,repaired.
"",,"If the brake fluid level is low, the driver should add more brake fluid"
490,O,immediately.
"",,If a driver can add more brake fluid than the maximum indicated level such that
491,X,"when they slam on the brakes the wheels lock, that will offer them the best"
"",,braking performance with the shortest braking distance.
"",,"If brake fluid accidentally sprays on the body paint, it will cause damage. The"
492,O,best course of action is to immediately rinse the contaminated area with tap
"",,water.
"",,"If the brakes feel soft or loose when pressure is applied, it is most likely because"
493,O,the air in the braking system or brake fluid is leaking. The driver should stop the
"",,vehicle immediately and have the brakes repaired before driving again.
"",,"Brake fluid, power steering fluid, and engine oil are all toxic substances which"
494,O,have to be stored in safe containers which are properly labeled and out of the
"",,reach of children.
"",,"If the power steering system is leaking fluid, the steering wheel will not turn at"
495,X,all.
"",,The battery post with a larger diameter is the positive terminal. The post with a
496,O,smaller diameter is the negative terminal.
"",,"If drivers can maintain the battery fluid at the appropriate level, that will increase"
497,O,the service life of the battery.
498,O,"If battery fluid is low, distilled water should be added to the battery."
"",,"If battery fluid is low, drivers should add mineral water until the fluid level rises"
499,X,to the designated correct height.
"",,"Highly corrosive battery fluid is made of diluted sulfuric acid. If your skin, eyes,"
500,O,"or clothes come in contact with battery fluid by accident, you must rinse them"
"",,with clean water immediately.
"",,"If it's too dark to see, you may use a cigarette lighter to check the battery cable"
501,X,connections or the fluid level in the battery.
"",,"If a vehicle has a lot of electric devices installed, it will cause the engine to"
502,O,consume more fuel than usual.
"",,"When jumping the battery of your car using another battery, the jumper cable"
"",,
"",,marked positive (+) should be connected to the positive (+) battery terminal post
503,O,
"",,"and the jumper cable marked negative (-) should be connected to another surface,"
"",,"such as the outer body of the vehicle, to ground the electrical charge."
"",,"Even if your windshield wiper fluid has been used up, the wiper system will still"
504,X,spray water.
The odometer on the dashboard records the total mileage traveled by the vehicle.  505,O,
506,X,The odometer on the dashboard records the total rpms.
"",,The rpm meter on the dashboard tells you how fast the engine is rotating. When
507,O,"the meter indicates 1, it means the engine is rotating 1,000 times every minute."
"",,The engine's temperature gauge on the dashboard does not reflect changes in the
508,X,temperature outside the car.
"",,If the temperature gauge indicates that the engine temperature is abnormally
509,O,"high, the driver should stop driving immediately. If they continue to drive, it will"
"",,cause severe damage to the engine.
510,O,"When the engine temperature is too high, the temperature gauge will point to H."
"",,
"",,Drivers should check the water level in the radiator and check for any water
511,X,
"",,leaks only when the engine is running.
"",,The radiator cap should not be removed when the engine is hot. If the cap is
512,O,"removed when the engine is very hot, hot fluid may spray out of the radiator and"
"",,cause a severe burn.
"",,"The driver should first run the engine for several minutes, then turn it off before"
513,X,removing the radiator cap to check the fluid level in the radiator.
"",,"As long as the overflow tank is full of water, there is no danger that a vehicle will"
514,X,"over heat, no matter what the fluid level is in the radiator."
"",,"Because the water in the radiator contains either anti-freeze or an antirust agent,"
515,X,it's not necessary to change the cooling water.
"",,"If the temperature gauge exceeds the maximum temperature, the driver should"
516,X,"pull off the road immediately, engage the emergency brake, turn off the engine,"
"",,and remove the radiator cap to check the water level.
"",,"Prior to starting the engine, the driver should check the water level in the radiator"
517,O,and the oil level.
"",,"If a water-cooled engine has run out of cooling water, the engine should not be"
518,O,started.
"",,An engine will not overheat as long as there is sufficient water in the radiator.
519,X,
"",,"If the windshield wiper system runs out of fluid and you use it anyway, you may"
520,O,damage the wiper motor and the wipers will easily scratch the windshield.
"",,"If the fuel gauge is on E, and the low-fuel-level warning indicator light has come"
521,X,"on, it's not necessary to refuel right away.  You can wait until you arrive at your"
"",,destination.
522,X,"When the fuel gauge points to E, it means the fuel tank is full."
"",,"When the car is running, the alternator supplies the power for all electric devices"
523,O,installed in the vehicle.
"",,"If the battery warning light comes on when the engine is running, it indicates that"
524,O,there is a problem with the power generation system.
"",,"If the brake warning light comes on suddenly, the driver should safely pull over,"
525,O,stop their car and wait for help.
"",,An ABS braking system allows drivers to brake and steer their vehicle normally
526,O,when they have to stop suddenly due to an emergency.
"",,"With a computer-controlled ABS braking system, the brake pedal vibrates when"
527,O,drivers traveling at a high speed hit the brakes suddenly.
"",,This vibration is considered normal for an ABS braking system.
"",,"When traveling at a high speed and braking, it is important to stay calm in order"
528,O,to control the steering and direction of the vehicle to avoid accidents.  An ABS
"",,braking system gives drivers more control in this kind of situation.
"",,The glove compartment should always be opened and closed quickly while
529,O,driving to avoid causing injury to any passenger during sudden or emergency
"",,braking.
"",,Keeping your vehicle free of unnecessary items or cargo will reduce the vehicle
530,O,"weight, thus lowering your fuel consumption, saving you money, and most"
"",,importantly protecting the environment.
"",,Drivers should not adjust their seat while driving. Adjusting the driver's seat
531,O,while the vehicle is in motion can cause the driver to lose control of their vehicle.
532,"X  If the driver is not comfortable, they may adjust their seat while driving.",
"",,Drivers may remove the front seat headrest in order to not obstruct the back seat
533,X  passenger's view.,
"",,It's okay to carry a baby in your lap as long as your seat belt is fastened.  The seat
534,X  belt will protect both you and the baby.,
535,X  It doesn't affect safety if two children use one safety belt.,
"",,"If a seatbelt feels uncomfortably tight, it's okay to put one arm outside the"
536,"X  shoulder strap. As long as the belt sits just under the arm pit, the level of",
"",,protection in the case of a sudden accident is exactly the same.
537,"O  If a safety belt is warn out or damaged, it must be replaced.",
"",,"After a vehicle has been involved in accident, all the safety belts and related"
538,O  operational devices and hardware must be replaced.,
539,"X  If a vehicle has airbags, the passengers do not have to wear a safety belt.",
"",,
"",,"When starting an automatic drive vehicle, drivers must step on the brakes as they"
540,O,
"",,shift into gear to ensure they can keep the vehicle under control.
541,O  An automatic drive vehicle must be shifted into park in order to start the engine.,
"",,"In order to start the ignition, an automatic drive vehicle must be shifted into drive"
542,X,(D).
"",,An automatic drive vehicle must be shifted into any other gear besides neutral
543,X,(N) or park (P) in order to start the engine.
"",,"When an automatic drive vehicle is being driven, the driver may shift into either"
544,X,park (P) or reverse (R) at anytime.
"",,"To park an automatic drive vehicle, the driver must wait until the vehicle comes"
545,O,to a complete stop before they shift into park (P).
"",,A vehicle must come to a complete stop before the driver shifts into either drive
546,O,"(D), reverse (R)) or park (P)."
"",,"When traveling down a slope in an automatic drive vehicle, the driver must shift"
547,O,into a lower-speed gear.
"",,"Drivers must check their tires before driving, especially the tread depth and tire"
548,O,pressure.
"",,Tire pressure has to be checked regularly (including the spare tire). Each car has
549,O,"different tire pressure requirements. Therefore, drivers have to inflate their tires"
"",,in accordance with the pressure stated in the user's manual.
"",,"Although fuel consumption is lower when the air pressure in the tires is greater,"
550,X,tire pressure has no connection with braking performance.
"",,"If the air pressure in the tires is too low, the vehicle will not only consume more"
551,O,"fuel, but there is a greater chance that the tires could have a blow out when"
"",,traveling a long distance.
"",,Even if the tire becomes bald to the point the treads are completely worn down
552,X,"smooth, it won't affect safety at all."
"",,"When starting the engine, you should not crank the starter switch for more than"
553,O,"10 seconds. Otherwise, you may damage the starter switch motor and battery."
"",,Do not crank the starter switch for longer than 10 seconds when attempting to
"",,"start the engine. If the engine doesn't start within 10 seconds, stop cranking the"
554,O,
"",,"starter switch for 10 seconds before you make another attempt. Otherwise, you"
"",,may damage the starter motor.
"",,"If the battery runs out of water and therefore it won't start the engine, you can"
555,X,"jump start the engine by pushing your car, regardless of whether it has an"
"",,automatic or manual drive transmission.
"",,The engine will discharge blue and white exhaust smoke when oil is being
556,O,burned.
"",,Water dripping from the exhaust (tail) pipe when a vehicle is started in cold
557,O,weather is quite normal.
"",,"If you hear any abnormal sounds when braking, there is something wrong with"
558,O,the braking system. You should stop and check the vehicle immediately.
"",,Abnormal sounds when braking are quite normal. It's not necessary to stop and
559,X,check your vehicle.
560,X,"If you forget to release the hand brake, it won't affect your driving at all."
561,X,You may not use both the hand brake and foot brake at the same time.
"",,"If you slam on the brakes, the tires are likely to be damaged and the vehicle is"
562,O,"likely to overturn, as well."
"",,"If you hear abnormal sounds when you are braking, it's probably because the"
563,O,brake pads are worn down.
"",,"While condition a new car , driving at high speeds and braking abruptly should"
564,O,be avoided.
"",,"The faster the speed, the lower the fuel consumption of the vehicle. Therefore,"
565,X,you should drive as fast as you want.
"",,
"",,"If you drive at a high speed when the engine is cold, it will decrease the service"
566,O,
"",,life of the engine.
567,O,An engine consumes more fuel when it's cold than when it's warm.
"",,"During a periodic inspection, no one will check to see if you have a breakdown"
568,X,"sign in your vehicle. Therefore, you don't have to keep a breakdown sign in your"
"",,vehicle.
569,O,Hybrid vehicles are primarily designed to save fuel and to reduce air pollution.
"",,"When starting a computer-controlled fuel injection engine in cold weather, you"
570,X,"should quickly pump the fuel pedal several times first, so the engine will start"
"",,more easily.
"",,"When parking a vehicle, you should pull the hand brake all the way up to prevent"
571,O,the vehicle from rolling.
"",,Vehicles with a catalytic converter should not be parked on grass or near
572,O,flammable objects immediately after driving to avoid causing fire.
"",,"Dangerous flammable objects, such as lighters, should never be left in an"
573,O,unattended vehicle during hot or sunny weather.
"",,"Student drivers are required to comply with all traffic signs, road markings,"
"",,"traffic signals, and speed limits while practicing driving on the road."
574,O,
"",,"Furthermore, they should pay attention to the traffic in front, behind, and on both"
"",,sides to ensure safety.
"",,"As a student driver's license can be used the same as a regular driver's license,"
575,X,students can practice driving anytime and anywhere they want.
"",,The police have no way to prohibit them from doing so.
576,X,A person holding a student driver's license can practice driving on any roads.
"",,"When student drivers practice driving on public roads, they may only drive on"
"",,"roads and during times designated by the local authorities. Furthermore, they"
577,O,
"",,"must be supervised by an instructor seated in the same vehicle, who possesses a"
"",,driver's license for the same type of vehicle.
"",,"Without a driver's license, I can still teach others how to drive as long as I have"
578,X,good driving skills and I can do that to make a living.
"",,
"",,"Even if a driver has passed the driver's license test, technically they can not drive"
579,O,
"",,until they have their driver's license on hand.
"",,"If a driver has passed the driver's license test, they can go ahead and drive even if"
580,X,they haven't technically received their driver's license yet.
"",,Professional drivers may apply for a regular driver's license for the same type of
581,X,vehicle if their professional license was cancelled due to expiration. They may
"",,drive a vehicle before receiving a regular driver's license.
"",,Professional taxi drivers who are approved to operate until age 70 are required to
582,O,apply for regular driver's licenses for the same type of vehicle when their
"",,professional driver's license expires.
"",,
"",,"Unless otherwise indicated by the authorities, no parking is allowed on no-"
583,X,
"",,parking roads 24 hours a day.
"",,"No parking, neither temporary nor long-term, is allowed on a No Temporary"
584,O,Parking road 24 hours a day.
585,O,"Temporary parking is allowed on No-Parking roads, but not long-term parking."
586,X,You may park your vehicle long term on a No-Temporary Parking road.
"",,"Areas that have “no parking” signs or road markings, but no other signs or"
587,O,"marking rules, are allowed to be parked in after 8 pm until the next day before 7"
"",,am.
588,X,Double parking a vehicle is allowed.
"",,If the vehicle in front of me passes over a railroad crossing safely without
589,X,"stopping, looking and listening first, then I can quickly follow suit."
"",,"At a railroad crossing without a guard, guard gate, alarm, or flashing warning"
"",,"lights, drivers are required to stop temporarily 3~6 meters before the tracks, then"
590,O,
"",,look carefully and listen to verify that there is no train coming before they drive
"",,over the railroad crossing.
"",,"Drivers may not cross over a no-passing line, solid double yellow lines"
591,O,"separating oncoming traffic, or a line indicating no lane changes, nor can they"
"",,pass another vehicle or make a U-turn on a railroad crossing.
"",,"When traveling on a flat and straight road, vehicles may cross the double yellow"
592,X,line and drive in the oncoming traffic lane in order to pass the vehicle in front of
"",,them.
"",,"Passing is not allowed on the roads that are winding, or have a steep slope,"
593,O,"narrow bridge, tunnel, or railroad crossing, or roads that intersect with another"
"",,road or are under construction.
"",,A driver may turn first if the oncoming vehicles have not yet reached the
594,X,intersection.
"",,"Vehicles have to yield to pedestrians on a pedestrian crosswalk, no matter if there"
595,O,is a crossing guard or pedestrian crossing signal or not.
596,X,"If the driver is in a hurry, it is okay to overtake an on-duty ambulance."
"",,"Drivers are only required to follow the traffic signs and signals, not any"
597,X,voluntary traffic control personnel.
"",,"Drivers are required to turn on their headlights when driving at night, in a tunnel,"
598,O,"under a culvert or underpass, during heavy fog, heavy rain, dark or low visibility"
"",,driving conditions.
"",,Drivers are not required to turn on their headlights when driving through a bright
599,X,tunnel in order to reduce the chance they will drain their battery.
"",,Drivers are required to comply with the instructions concerning the use of
600,O,"headlights as shown on the road signs when driving in the mountains, on special"
"",,"roads, or under culverts or underpasses."
"",,"A driver may honk their horn if an emergency occurs, or when approaching a"
601,O,"curve, at the top of a hill with poor visibility, or passing the vehicle in front in a"
"",,rural area.
"",,Heavy motorcycles over 250cc but less than 550cc are considered the same as
602,X,"small cars, and may travel on freeways and expressways."
"",,Vehicles that carry both goods and passengers may not exceed the maximum
"",,"number passengers permitted by law or the maximum weight limit, which is the"
603,O,
"",,total combined weight of goods and passengers being transported at the same
"",,time.
"",,"Neither counterfeiting nor altering a vehicle plate is allowed, but it is okay to"
604,X,borrow or lend a vehicle plate from or to another vehicle.
"",,Cars less than 5 years old are exempt from periodic inspection (with the
"",,exception of vehicles fueled by liquefied petroleum gas or compressed natural
605,O,
"",,"gas). Cars over 5 years, but less than 10 years, must be inspected at least once a"
"",,year. And cars over 10 years old must be inspected at least twice a year.
"",,Cars less than six years old are exempt from periodic inspection. Cars over six
606,X,"years old, but less than 10 years old, must be inspected at least once a year. Cars"
"",,over 10 years old must be inspected at least twice a year.
"",,"Cars fueled by liquefied petroleum gas or compressed natural gas, small trucks,"
"",,"large trucks, vehicles transporting children, and vehicles used for business"
607,X,
"",,"purposes less than 5 years old must be inspected at least once a year, and cars"
"",,over 10 years old must be inspected at least twice a year
"",,If the owner of a vehicle is planning to convert a vehicle to use liquefied
"",,"petroleum gas as its fuel source, that owner is required to obtain a vehicle safety"
608,O,inspection certificate and then contact the Motor Vehicle Registration
"",,Department to arrange for inspection and to have the vehicle registration
"",,amended.
"",,"During a regular inspection, both the foot brakes and hand (emergency) brake"
609,O,"will be checked, as well as the tires, and all lights to make sure they are"
"",,compliant with the law.
"",,"If a vehicle's engine, chassis, electrical system, or doors are damaged, making the"
"",,"vehicle dangerous to drive, but the owner refuses to have them fixed, the owner"
610,O,
"",,will be fined and their license plates confiscated until all damage is repaired and
"",,passes inspection.
"",,"The trailers attached to cars are only allowed to carry camping equipment, leisure"
"",,"items, and disease prevention and relief equipment. The trailer doors must be"
611,O,operable and kept closed at all times during transport. All items and objects must
"",,be loaded and tied down securely. The trailer may not carry any passengers and
"",,its side-windows may not be open.
"",,"Prior to driving, drivers are required to check to make sure their steering wheel,"
"",,"brakes, tires, lights, windshield wipers, horn, and rearview and sideview mirrors,"
612,O,"as well as their vehicle mileage tracking system, pay load meter, and all other"
"",,alarm devices required for turning and backing up the vehicle are in good
"",,working condition.
613,X,Vehicle horns are allowed to producing various tunes or sounds.
"",,"If a vehicle in use has been self modified with HID or LED headlights, the beam"
"",,
"",,"angle of headlights must be adjusted by the headlight inspector to avoid glare,"
614,O,
"",,and the vehicle must pass the inspection held by the highway supervisory
"",,authorities and apply for change registration.
"",,"A vehicle owner may change the color of their vehicle. However, they are"
615,O,required to amend their vehicle registration accordingly at the Motor Vehicle
"",,Registration Department.
"",,If a vehicle owner turns in license plates as required by law for vehicles not in
616,O,"use, they may apply for new plates at a future date so that they may drive that"
"",,vehicle again.
"",,"If the doors of a vehicle are so severely damaged that they cannot be repaired,"
617,O,the owner is required to report the vehicle as scrapped.
"",,"In principle, a law enforcement officer should not obstruct traffic to issue a"
"",,"citation to drivers that used hand-held cell phones, computers, or other similar"
618,O,"devices to call, talk, digitally communicate, or do other actions that might hinder"
"",,"driving safety. If necessary, law enforcement officers may use a video camera or"
"",,photographs to collect evidence to prosecute a traffic violation.
"",,If the driver fails to safely drive an automotive vehicle under the influence of
"",,"alcohol, drugs, or hallucinogens, he or she shall be sentenced to no more than"
619,O,
"",,"three years in prison or criminal detention, or/and a fine of less than"
"",,"NT$300,000."
"",,If the engine of an automatic drive vehicle suddenly shuts down when the motor
620,O,"is running, and the driver is unable to start the engine again, it's probably because"
"",,the gear shift is in drive (D).
"",,"If a vehicle breaks down on a railroad crossing, the driver should take counter"
"",,measures in the following sequence: press the emergency button→ push the
621,O,vehicle out of the crossing →quickly move out of the way as the train
"",,approaches.
"",,Electrical railroad lines have height clearance gates in front of and behind the
622,O,crossing which alert vehicles exceeding the maximum height are not allowed to
"",,pass.
"",,"If a car breaks down in a freeway or expressway tunnel, the driver must turn on"
"",,"their emergency warning lights immediately, put out a vehicle breakdown sign"
623,O,
"",,"100 meters behind their vehicle, and notify the proper authorities with the"
"",,emergency phone or by cell phone.
"",,"If a freeway ramp has a No-Entry sign, arrow pointing away from the ramp, or a"
624,O,"red reflective sign on the ramp, it means this ramp is an exit and no vehicle may"
"",,drive onto the ramp under any circumstances.
"",,"If there are construction signs, square white signs, or vehicle warning signs along"
625,O,"the road, it means the road up ahead is under construction.  Therefore, all"
"",,vehicles must slow down when passing through that area.
"",,"Accidents on highways are handled by the National Highway Police Bureau,"
"",,while accidents on expressways are handled by county or city police offices of
626,O,"the government where accidents occur, or other police officers designated by the"
"",,"National Police Agency, Ministry of Interior."
"",,If he/she finds a traffic commander is implementing a road or bridge closure
627,X,"ahead of him/her while driving, he/she should ignore it and speed up to avoid"
"",,delay.
"",,"If he/she wants to drive on a road that will soon be a road or bridge closure,"
628,O,"he/she should cooperate with the traffic commander, only exit but not enter, and"
"",,drive away from the road as quickly as possible without lingering.
"",,"When driving through mountain roads during rainy days, drivers should listen to"
629,O,"the Police Broadcasting Service and pay attention to the traffic reports. Also, be"
"",,alert and avoid any dangerous sections.
"",,"Roads are absolutely safe; therefore, there is no need to check the traffic report"
630,X,"before driving, and even in stormy weather there is no danger on the road."
"",,"During a period of torrential rain, as noted by the Central Weather Bureau, rock-"
"",,"falls, landslides, or swollen rivers under bridges in low rivers, caused by"
"",,"torrential rain in the upper rivers, are all signs of road disasters. When"
631,O,
"",,"encountering these, drivers should avoid those sections and report to the"
"",,departments of Directorate General of Highways or the Police Broadcasting
"",,Service as a warning to other drivers.
"",,
"",,"Before turning on the ignition, motorists should turn off any entertainment"
632,O,
"",,"monitors, except monitors used for driving assistance."
"",,"It is legal to look at the monitors used for driving assistance; therefore, it is also"
633,X,legal to drive while operating the driving assistance equipment.
"",,"When the driver of an automobile is signaled to stop by means of speech,"
"",,"gesture, command stick, honking horn or alarm horn, etc. in case of police or"
634,O,"personnel performing traffic inspection tasks according to law, he/she shall"
"",,"immediately slow down, turn on the direction light and stop at the right place by"
"",,the road.
"",,If the driver of an automobile is stopped by the police and found to be in
"",,"violation of road traffic regulations, the police would fill in the notice of"
"",,violation of road traffic regulation on the spot. When the notification is given to
635,X,"the driver, he/she shall sign or seal the notice on the notice. The signature or seal"
"",,means that the informant acknowledges that the violation is true. After the
"",,"signature and seal, the informant shall not make any statement against the"
"",,accusation or file an administrative lawsuit.
"",,When a driver causes no injury or death in an accident but does not act according
"",,
"",,"to the regulations, the driver will be fined between NT$1,000 and NT$3,000; if"
641,O,
"",,"the driver escapes from the scene, the driver's license will be suspended for 1 to"
"",,3 month(s).
"",,When a driver causes no injury or death in an accident but does not mark the
"",,
"",,vehicle's location on the ground and move the operable vehicle to the side of the
642,O,
"",,"road as soon as possible, the driver will be fined between NT$600 and"
"",,"NT$1,800."
"",,"When a traffic accident takes place, a driver or perpetrator should first place a"
"",,vehicle breakdown warning sign or other warning device at an appropriate
643,O,"distance on the lane or shoulder, and should remove the same immediately after"
"",,"the clearance of the scene; the driver should rescue the injured, if any, quickly"
"",,and notify the fire department as soon as possible.
"",,When a driver causes no injury or death in an accident and the vehicle remains
644,O,"operable, the driver should take pictures of or tape-record the vehicle location"
"",,and traces of the scene.
"",,When a driver causes no injury or death in an accident and the vehicle remains
645,X,"operable, the driver should keep the vehicle location and traces intact and wait"
"",,for the police on the scene.
"",,Automobile drivers who remove their mufflers and cause loud noise are subject
"",,"to fines, immediate driving prohibition, as well as a 6-month vehicle registration"
646,O,
"",,suspension. Drivers who commit a repeat offense in the period of a year are
"",,subject to a 6-month suspension of their driver’s license.
"",,The driver should always pay attention to the surroundings and drive in
"",,accordance with the legal regulations. When one encounters bicycle riders during
647,O,"travel, besides maintaining a safe distance, the driver should also pay particular"
"",,attention to the riders’ hand gestures that may indicate an imminent change of
"",,direction.
"",,"When one encounters a light rail transit area, pass through it as soon as possible"
648,O,
"",,and avoid stopping at the tracks.
"",,A driver should give way to electric-assisted bicycles and motorcycles when
649,O,
"",,traveling through motorcycle priority and slow-vehicle lanes.
"",,"In the case of a car accident on a freeway in which someone is injured or killed,"
"",,"render first aid immediately, and call 110, 1968, or use the 1968 App to report to"
"",,the police or the relevant units for assistance. Moving the accident vehicles and
650,O,"any trace evidence at the scene casually is not allowed. However, if all parties"
"",,"agree with the accident settlement, after marking the location of the vehicles and"
"",,"collecting all trace evidence, you may remove the vehicles from the scene to"
"",,prevent traffic jams.
"",,"If a car has a traffic accident on a freeway, place vehicle warning triangles or"
"",,"other obvious warning signs at an appropriate distance, and remove them"
651,O,"immediately after the accident scene is cleared. If someone is injured, render first"
"",,"aid instantly, and call 110, 1968, or use the 1968 App right away to report to the"
"",,police or the relevant units for assistance.
"",,"If a car breaks down or has an accident on a freeway, if no one is injured or"
"",,"killed and the vehicle can still be driven, to prevent rear-end collisions, you shall"
652,O,
"",,move your vehicle to a safe place to wait for rescue. Do not stay in the lane. Face
"",,"the oncoming traffic, and pay attention to the vehicles behind."
"",,"If a car breaks down or has an accident on a freeway, if no one is injured or"
"",,"killed and the vehicle can still be driven, to prevent rear-end collisions, you shall"
653,O,move your vehicle to the shoulder. Everyone in the car should get out and
"",,evacuate to a place beyond the guardrail or other safe places to wait for rescue.
"",,Do not stay in the shoulder. Warn the vehicles behind.
"",,"Starting from June 30th, 2023, newly obtained car driver's licenses may not be"
654,O,
"",,used to operate light motorcycles.
